congress_number,start_year,gridlock_pct,mean_structural_weight
80,1947,26.09,6.755225225225225
81,1949,37.04,7.964410256410257
82,1951,40.0,12.607118644067798
83,1953,35.0,8.102941176470589
84,1955,47.83,4.608706896551724
85,1957,36.0,6.648715596330276
86,1959,47.37,3.6219090909090905
87,1961,40.54,5.3117412935323385
88,1963,27.27,5.699787234042553
89,1965,28.57,10.428345864661654
90,1967,31.25,8.880349650349649
91,1969,38.46,9.119808917197451
92,1971,38.89,10.081532846715328
93,1973,43.24,10.600135135135135
94,1975,42.42,8.181079136690649
95,1977,29.41,7.408888888888889
96,1979,51.61,10.753238636363635
97,1981,56.0,12.733105590062113
98,1983,44.83,9.106037735849057
99,1985,33.33,14.952826086956522
100,1987,41.67,15.572947368421053
101,1989,36.84,17.720309278350516
102,1991,65.22,16.95468085106383
103,1993,56.25,20.468785714285715
104,1995,42.11,15.201386138613861
105,1997,60.0,12.918023255813955
106,1999,71.43,19.435000000000002
107,2001,34.29,20.773505154639174
108,2003,60.42,17.914302325581396
109,2005,50.0,16.336981132075472
110,2007,48.28,18.94209677419355
111,2009,43.75,22.640632911392405
112,2011,70.59,25.79917808219178
113,2013,73.68,23.19173076923077
114,2015,61.91,20.286
115,2017,62.0,22.764040404040404
116,2019,65.0,26.20394736842105
117,2021,48.15,29.654583333333335
